step,time_s,temperature_K,I_mean,V_mean,I_min,I_max,V_min,V_max,I_over_Ieq_mean,V_over_Veq_mean,IV_over_IeqVeq_mean,Ieq,Veq
1,5.0,1023.1500000000001,9.785374256228034e+20,9.785303679928114e+20,596370827410792.5,5.922677405302031e+21,34137002799978.656,6.50199127393716e+21,868387289844.6525,214427488.43947566,6.291694879834385e+20,1126844481.7954948,4563455810233.119
2,35.0,1373.15,9.663957607670972e+20,9.663799493347373e+20,3455707465967908.0,5.30520171298806e+21,134026617551971.58,6.229404736996725e+21,178697614.70744035,244313.30949555957,139331680616774.48,5407994742119.304,3955494489146176.5
3,45.0,1173.15,9.625829932433699e+20,9.625550483126765e+20,1.3496599872689502e+16,4.871955073706465e+21,170086491223645.06,6.144784094725002e+21,12161022977.27313,7085579.749422163,2.6331634301591587e+17,79153126759.34145,135847041788101.56
